regime,scenario_count,is_selected_kp,kp,ki_fixed,kd_fixed,completion_rate,failure_adjusted_error_m,progress_pct,mean_distance_m,steer_total_variation_per_s,wheel_saturation_fraction,gain_l1
robust,28,True,18.0,0.5,4.4,1.0,0.010485536243089141,100.0,0.017926199409337124,16.435721408547405,0.3251978014388781,22.9
robust,28,False,4.0,0.5,4.4,1.0,0.007204504825530201,100.0,0.014084950260244112,20.384314303715232,0.26727404609803285,8.9
robust,28,False,6.0,0.5,4.4,1.0,0.006507516782212054,100.0,0.012603807023759623,19.972916963973628,0.27387461088749515,10.9
robust,28,False,8.0,0.5,4.4,1.0,0.006465418022542175,100.0,0.012371124717572807,19.479513398967985,0.2792312171293861,12.9
robust,28,False,10.0,0.5,4.4,1.0,0.006604935940278324,100.0,0.012544372460890485,19.140939538444673,0.28617648670916745,14.9
robust,28,False,12.0,0.5,4.4,1.0,0.007167048308668715,100.0,0.013371663396800178,18.37253184523623,0.29690253821614687,16.9
robust,28,False,14.0,0.5,4.4,1.0,0.008007980350839602,100.0,0.01457605017271557,17.689610552979335,0.3059360996048351,18.9
robust,28,False,16.0,0.5,4.4,1.0,0.009028906707954263,100.0,0.016043499584888304,17.06241929286213,0.31537137905385526,20.9
